TSK,PSFC,U10,V10,Q2,RAINC,RAINNC,SNOW,TSLB,SMOIS,DATETIME,WIND_SPEED
277.6,97520,3.2,0.2,0.0037,0,0,0,276.9,0.2743,2018-05-01T01:00:00Z,3.21
277.2,97113,1.4,5.5,0.00371,0,0,0,276,0.2442,2018-05-01T01:00:00Z,5.68
282.2,99982,1.4,11.5,0.00518,0,0,0,273.2,1,2018-05-01T01:00:00Z,11.58
278.7,99095,1,3.6,0.00563,0,0,0,276.5,0.2963,2018-05-01T01:00:00Z,3.74
277.9,97706,0.2,2.2,0.00463,0,0,0,277.7,0.2734,2018-05-01T01:00:00Z,2.21
280.1,100053,2.9,3.8,0.00435,0,0,0,273.2,1,2018-05-01T01:00:00Z,4.78
277,96196,-0.6,4,0.00488,0,0,0,275.7,0.2925,2018-05-01T01:00:00Z,4.04
277.6,97869,1.4,6.2,0.00376,0,0,0,276.2,0.2662,2018-05-01T01:00:00Z,6.36
280.4,100178,3.5,3.5,0.00482,0,0,0,273.2,1,2018-05-01T01:00:00Z,4.95
277.1,96307,1,4.3,0.00334,0,0,0,276.1,0.2325,2018-05-01T01:00:00Z,4.41
277.7,97661,1.1,3.9,0.0034,0,0,0,274.65,0.2269,2018-05-01T01:00:00Z,4.05
280.6,100234,3.4,1.8,0.00488,0,0,0,273.2,1,2018-05-01T01:00:00Z,3.85
282.2,99676,0.9,2.85,0.00517,0,0,0,273.2,1,2018-05-01T01:00:00Z,2.99
287.7,98861,2.5,3.8,0.00512,0,0,0,277.5,0.2766,2018-05-01T04:00:00Z,4.55
286.1,96902,2.9,4.9,0.00477,0,0,0,276.1,0.2673,2018-05-01T04:00:00Z,5.69
278.5,95620,2.1,6.5,0.00432,0,0,0,276.5,0.2451,2018-05-01T04:00:00Z,6.83
279.7,98537,0.6,6.5,0.00373,0,0,0,277.8,0.2623,2018-05-01T04:00:00Z,6.53
282.4,97078.5,1,11.65,0.00515,0,0,0,273.2,1,2018-05-01T04:00:00Z,11.69
279.8,98132,-0.2,5.5,0.00464,0,0,0,276.7,0.2856,2018-05-01T04:00:00Z,5.5
281.3,98441,-0.4,8,0.00443,0,0.1,0,277.5,0.2842,2018-05-01T04:00:00Z,8.01
280,98949,0.4,6.8,0.00391,0,0,0,277.6,0.2657,2018-05-01T04:00:00Z,6.81
279.8,98224,-0.7,8.2,0.00498,0,1.4,0,278.2,0.2952,2018-05-01T04:00:00Z,8.23
281.3,99884,0.2,5.8,0.0049,0,0,0,273.2,1,2018-05-01T04:00:00Z,5.8
286.4,96017,1.8,4.9,0.00411,0,0,0,276.3,0.2448,2018-05-01T04:00:00Z,5.22
279.2,100189,1.3,5.35,0.0053,0,0,0,273.2,1,2018-05-01T04:00:00Z,5.51
280,96707,0.9,7.6,0.00396,0,0,0,274.75,0.2624,2018-05-01T04:00:00Z,7.65
279.3,100259,0.3,6.475,0.00511,0,0,0,273.2,1,2018-05-01T04:00:00Z,6.48
282.9,93760,1.4,7.0375,0.00456,0,0,0,276,0.2655,2018-05-01T04:00:00Z,7.18
281.1,96027,-0.3,7.2,0.00455,0,0,0,275.6,0.2941,2018-05-01T04:00:00Z,7.21
279.9,98625,0.5,6.4,0.00388,0,0,0,277.4,0.2658,2018-05-01T04:00:00Z,6.42
284.9,99563,1.4,4.6,0.00441,0,0,0,277.3,0.2379,2018-05-01T04:00:00Z,4.81
281.2,97607,1.2,5.5,0.00437,0,0,0,276.4,0.2352,2018-05-01T04:00:00Z,5.63
282.6,99573,0.5,11.3,0.00474,0,0,0,273.2,1,2018-05-01T04:00:00Z,11.31
277.7,94847,0.6,8.1,0.0045,0,0,0,275.5,0.277,2018-05-01T04:00:00Z,8.12
287.4,97535,1.5,4.5,0.00406,0,0,0,276.6,0.2356,2018-05-01T04:00:00Z,4.74
278.8,95985,1.1,6.7,0.00441,0,0,0,275.7,0.2622,2018-05-01T04:00:00Z,6.79
283.3,97589,-0.2,6.1,0.00409,0,0,0,277.1,0.2561,2018-05-01T04:00:00Z,6.1
286.3,97355,2.5,4.3,0.00496,0,0,0,276.9,0.273,2018-05-01T04:00:00Z,4.97
279.7,96892,0.5,6.1,0.00425,0,0,0,276,0.2435,2018-05-01T04:00:00Z,6.12
282.2,99746,-0.4,11.65,0.00571,0,1.8,0,273.2,1,2018-05-01T04:00:00Z,11.66
280.9,98957,0.7,6.8,0.005,0,0,0,277.1,0.2962,2018-05-01T04:00:00Z,6.84
283.4,97546,2.3,5.8,0.00451,0,0.1,0,277.7,0.2727,2018-05-01T04:00:00Z,6.24
280.1,99882,3.9,4.2,0.004755,0,0,0,273.2,1,2018-05-01T04:00:00Z,5.73
